R_Name,hierarchy
SA-RLRA 300-1997 Par58(7),58.7
SA-RLRA 300-1997 Par58(6),58.6
SA-RLRA 300-1997 Par58(5),58.5
SA-RLRA 300-1997 Par58(4)(b),58.4.2
SA-RLRA 300-1997 Par58(4)(a),58.4.1
SA-RLRA 300-1997 Par58(3),58.3
SA-RLRA 300-1997 Par58(2),58.2
SA-RLRA 300-1997 Par58(1),58.1
SA-RLRA 300-1997 Par57(3),57.3
SA-RLRA 300-1997 Par57(2)(c),57.2.3
SA-RLRA 300-1997 Par57(2)(b),57.2.2
SA-RLRA 300-1997 Par57(2)(a),57.2.1
SA-RLRA 300-1997 Par57(1)(c),57.1.3
SA-RLRA 300-1997 Par57(1)(b),57.1.2
SA-RLRA 300-1997 Par57(1)(a),57.1.1
SA-RLRA 300-1997 Par56(2),56.2
SA-RLRA 300-1997 Par56(1)(c),56.1.3
SA-RLRA 300-1997 Par56(1)(b),56.1.2
SA-RLRA 300-1997 Par56(1)(a),56.1.1
SA-RLRA 300-1997 Par55(6),55.6
SA-RLRA 300-1997 Par55(5),55.5
SA-RLRA 300-1997 Par55(4),55.4
SA-RLRA 300-1997 Par55(3),55.3
SA-RLRA 300-1997 Par55(2),55.2
SA-RLRA 300-1997 Par55(1),55.1
SA-RLRA 300-1997 Par54(d),54.4
SA-RLRA 300-1997 Par54(c),54.3
SA-RLRA 300-1997 Par54(b),54.2
SA-RLRA 300-1997 Par54(a),54.1
SA-RLRA 300-1997 Par53A(7),20.7
SA-RLRA 300-1997 Par53A(6),20.6
SA-RLRA 300-1997 Par53A(5)(b),20.5.2
SA-RLRA 300-1997 Par53A(5)(a)(ii),20.5.1.34
SA-RLRA 300-1997 Par53A(5)(a)(i),20.5.1.9
SA-SDA 369-2012 Reg14(3)(b),14.3.2
SA-RLRA 300-1997 Par53A(4)(c),20.4.3
SA-RLRA 300-1997 Par53A(4)(b),20.4.2
SA-RLRA 300-1997 Par53A(4)(a),20.4.1
SA-RLRA 300-1997 Par53A(3)(i)(ii),20.3.9.34
SA-RLRA 300-1997 Par53A(3)(i)(i),20.3.9.9
SA-RLRA 300-1997 Par53A(3)(h),20.3.8
SA-RLRA 300-1997 Par53A(3)(g),20.3.7
SA-RLRA 300-1997 Par53A(3)(f),20.3.6
SA-RLRA 300-1997 Par53A(3)(e),20.3.5
SA-RLRA 300-1997 Par53A(3)(d)(ii),20.3.4.34
SA-RLRA 300-1997 Par53A(3)(d)(i),20.3.4.9
SA-RLRA 300-1997 Par53A(3)(c)(iv),20.3.3.4
